동대문역사문화공원,동대문,700,2
동대문,혜화,1500,2
혜화,한성대입구,900,2
한성대입구,성신여대입구,1000,2
성신여대입구,길음,1400,2
길음,미아사거리,1300,2
미아사거리,미아,1500,2
미아,수유,1400,2
수유,쌍문,1500,2
쌍문,창동,1300,2
창동,노원,1400,2
노원,상계,1000,2
상계,당고개,1200,2
마천,거여,900,2
거여,개롱,900,2
개롱,오금,900,2
오금,방이,900,2
방이,올림픽공원,900,2
올림픽공원,둔촌동,1400,2
둔촌동,강동,1200,2
상일동,고덕,1100,2
고덕,명일,1200,2
명일,굽은다리,700,2
굽은다리,길동,800,2
길동,강동,900,2
강동,천호,800,2
천호,광나루,2000,3
광나루,아차산,1500,2
아차산,군자,1000,2
군자,장한평,1500,2
장한평,답십리,1200,2
답십리,마장,1000,2
마장,왕십리,700,2
왕십리,행당,900,2
행당,신금호,800,2
신금호,청구,900,2
청구,동대문역사문화공원,900,2
동대문역사문화공원,을지로4가,900,2
을지로4가,종로3가,1000,2
종로3가,광화문,1200,2
광화문,서대문,1100,2
서대문,충정로,700,2
충정로,애오개,900,2
애오개,공덕,1100,2
공덕,마포,800,2
마포,여의나루,1800,3
여의나루,여의도,1000,2
여의도,신길,1000,2
신길,영등포시장,1100,2
영등포시장,영등포구청,900,2
영등포구청,양평,800,2
양평,오목교,1100,2
오목교,목동,900,2
목동,신정,800,2
신정,까치산,1300,2
까치산,화곡,1200,2
화곡,우장산,1000,2
우장산,발산,1100,2
발산,마곡,1200,2
마곡,송정,1100,2
송정,김포공항,1200,2
김포공항,개화산,1200,2
개화산,방화,900,2
봉화산,화랑대,700,2
화랑대,태릉입구,900,2
태릉입구,석계,800,2
석계,돌곶이,1000,2
돌곶이,상월곡,800,2
상월곡,월곡,800,2
월곡,고려대,1400,2
고려대,안암,800,2
안암,보문,900,2
보문,창신,800,2
창신,동묘앞,900,2
동묘앞,신당,600,2
신당,청구,700,2
청구,약수,800,2
약수,버티고개,700,2
버티고개,한강진,1000,2
한강진,이태원,1000,2
이태원,녹사평,800,2
녹사평,삼각지,1100,2
삼각지,효창공원앞,1200,2
효창공원앞,공덕,900,2
공덕,대흥,900,2
대흥,광흥창,1000,2
광흥창,상수,900,2
상수,합정,800,2
합정,망원,800,2
망원,마포구청,1000,2
마포구청,월드컵경기장,800,2
월드컵경기장,디지털미디어시티,800,2
디지털미디어시티,증산,1100,2
증산,새절,900,2
새절,응암,900,2
응암,역촌,1100,2
역촌,불광,800,2
불광,독바위,900,2
독바위,연신내,1400,2
연신내,구산,900,2
구산,응암,900,2
부평구청,굴포천,950,2
굴포천,삼산체육관,900,2
삼산체육관,상동,1300,2
상동,부천시청,1100,2
부천시청,신중동,1100,2
신중동,춘의,910,2
춘의,부천종합운동장,1000,2
부천종합운동장,까치울,1300,2
온수,천왕,1500,2
천왕,광명사거리,1700,3
광명사거리,철산,1300,2
철산,가산디지털단지,1400,2
남구로,대림,1100,2
대림,신풍,1400,2
신풍,보라매,900,2
보라매,신대방삼거리,800,2
신대방삼거리,장승배기,1200,2
장승배기,상도,900,2
상도,숭실대입구,900,2
